Description,Current_Progress_consolidated_data,component,baseline_consolidated_data,actual_consolidated_data,Target_consolidated_data,Date,Month,Year,Quarter,State,Latitude,Longitude,indicator,Current_Progress_summed_data,baseline_summed_data,Target_summed_data,actual_summed_data,%achieved_consolidated_data,%achieved_summed_data
Number of girls aged 18-23 years old,0,PDO Indicators,105,0,0,2024-11-01,11,2024,Q4,ZAMFARA,12.122,6.2239,Number of girls aged 18-23 years old,235652,37,795329,235614,,29.624721341734052
Number of girls completing SS3,7961,PDO Indicators,107,8353,9727,2024-12-01,12,2024,Q4,ZAMFARA,12.122,6.2239,Number of girls completing SS3,119464,45,735593,119419,85.87437030944794,16.23438504716603
Number of girls attempting WAEC or NECO,7961,PDO Indicators,110,8351,9761,2025-01-01,1,2025,Q1,ZAMFARA,12.122,6.2239,Number of girls attempting WAEC or NECO,119464,40,701722,119424,85.5547587337363,17.01870541325482
Number of girls successfully passing WAEC or NECO,3582,PDO Indicators,112,3969,5415,2025-02-01,2,2025,Q1,ZAMFARA,12.122,6.2239,Number of girls successfully passing WAEC or NECO,53779,58,760231,53721,73.29639889196676,7.066404816430795
Number of girls receiving digital literacy training with higher digital competencies as compared to competencies measured at baseline,8659,PDO Indicators,115,9044,10525,2025-03-01,3,2025,Q1,ZAMFARA,12.122,6.2239,Number of girls receiving digital literacy training with higher digital competencies as compared to competencies measured at baseline,142130,54,826000,142075,85.92874109263659,17.20036319612591
Number of girls who complete the safe space curriculum per year,3897,PDO Indicators,117,4279,5797,2025-04-01,4,2025,Q2,ZAMFARA,12.122,6.2239,Number of girls who complete the safe space curriculum per year,58455,59,776196,58395,73.81404174573055,7.5232286690475085
Number of classrooms constructed or rehabilitated; in newly established junior secondary schools under Subcomponent 1.1 and in existing junior secondary schools under Subcomponent 1.2 ,0,Component 1 Indicators,120,0,0,2025-05-01,5,2025,Q2,ZAMFARA,12.122,6.2239,Number of classrooms constructed or rehabilitated; in newly established junior secondary schools under Subcomponent 1.1 and in existing junior secondary schools under Subcomponent 1.2 ,0,22,458064,0,,0.0
Number of classrooms constructed in newly established junior secondary schools under Subcomponent 1.1,0,Component 1 Indicators,122,0,0,2025-06-01,6,2025,Q2,ZAMFARA,12.122,6.2239,Number of classrooms constructed in newly established junior secondary schools under Subcomponent 1.1,0,19,435483,0,,0.0
Number of newly constructed classrooms in existing junior secondary schools under Subcomponent 1.2,60,Component 1 Indicators,125,435,2060,2025-07-01,7,2025,Q3,ZAMFARA,12.122,6.2239,Number of newly constructed classrooms in existing junior secondary schools under Subcomponent 1.2,900,64,752512,835,21.11650485436893,0.11096168566082666
Number of newly rehabilitated classrooms in existing junior secondary schools under Subcomponent 1.2 ,1042,Component 1 Indicators,127,1414,3075,2025-08-01,8,2025,Q3,ZAMFARA,12.122,6.2239,Number of newly rehabilitated classrooms in existing junior secondary schools under Subcomponent 1.2 ,15630,69,801113,15560,45.983739837398375,1.942297778216057
Number of classrooms constructed or rehabilitated; in newly established senior secondary schools under Subcomponent 1.1 and in existing senior secondary schools under Subcomponent 1.2 ,0,Component 1 Indicators,130,0,0,2025-09-01,9,2025,Q3,ZAMFARA,12.122,6.2239,Number of classrooms constructed or rehabilitated; in newly established senior secondary schools under Subcomponent 1.1 and in existing senior secondary schools under Subcomponent 1.2 ,0,24,469354,0,,0.0
Number of classrooms constructed in newly established senior secondary schools under Subcomponent 1.1.,0,Component 1 Indicators,132,0,0,2025-10-01,10,2025,Q4,ZAMFARA,12.122,6.2239,Number of classrooms constructed in newly established senior secondary schools under Subcomponent 1.1.,0,20,446774,0,,0.0
Number of newly constructed classrooms in existing senior secondary schools under Subcomponent 1.2.,60,Component 1 Indicators,135,425,2193,2025-11-01,11,2025,Q4,ZAMFARA,12.122,6.2239,Number of newly constructed classrooms in existing senior secondary schools under Subcomponent 1.2.,900,66,763803,833,19.379844961240313,0.10905953498480628
Number of newly rehabilitated classrooms in existing senior secondary schools under Subcomponent 1.2. ,1042,Component 1 Indicators,137,1404,3208,2025-12-01,12,2025,Q4,ZAMFARA,12.122,6.2239,Number of newly rehabilitated classrooms in existing senior secondary schools under Subcomponent 1.2. ,15630,72,823694,15557,43.765586034912715,1.8886868181630556
"Number of public JSS and SS schools that received at least one of the School Improvement Grants made available under the project that is both (a) managed by the SBMC based on the School Improvement Plan, and (b) has taken into account feedback from the community and all stakeholders into the school activities",203,Component 1 Indicators,140,563,2403,2026-01-01,1,2026,Q1,ZAMFARA,12.122,6.2239,"Number of public JSS and SS schools that received at least one of the School Improvement Grants made available under the project that is both (a) managed by the SBMC based on the School Improvement Plan, and (b) has taken into account feedback from the community and all stakeholders into the school activities",3045,74,822399,2970,23.429047024552645,0.3611385714233602
Number of toilets with WASH facilities for girls constructed in public junior secondary schools that receive School Improvement Grants as part of the project,276,Component 1 Indicators,142,633,2509,2026-02-01,2,2026,Q1,ZAMFARA,12.122,6.2239,Number of toilets with WASH facilities for girls constructed in public junior secondary schools that receive School Improvement Grants as part of the project,4326,91,947874,4234,25.229174970107614,0.44668384194523747
Number of toilets with WASH facilities for girls constructed in public senior secondary schools that receive School Improvement Grants as part of the project,276,Component 1 Indicators,145,631,2542,2026-03-01,3,2026,Q1,ZAMFARA,12.122,6.2239,Number of toilets with WASH facilities for girls constructed in public senior secondary schools that receive School Improvement Grants as part of the project,4484,93,959322,4390,24.822974036191976,0.45761485715953554
"Number of schools with both (a) a teachers' codes of conduct (including training), and (b) GBV/SEA awareness through a confidential reporting mechanism with referral pathway",203,Component 1 Indicators,147,555,2503,2026-04-01,4,2026,Q2,ZAMFARA,12.122,6.2239,"Number of schools with both (a) a teachers' codes of conduct (including training), and (b) GBV/SEA awareness through a confidential reporting mechanism with referral pathway",3272,82,879078,3189,22.17339192968438,0.3627664439333028
Number of community members directly reached at local level on the importance of girls’ education.,25311,Component 2 Indicators,150,25661,27644,2026-05-01,5,2026,Q2,ZAMFARA,12.122,6.2239,Number of community members directly reached at local level on the importance of girls’ education.,379739,25,860384,379713,92.8266531616264,44.132968534979724
State has designed and implemented the media outreach program,0,Component 2 Indicators,152,0,0,2026-06-01,6,2026,Q2,ZAMFARA,12.122,6.2239,State has designed and implemented the media outreach program,0,100,1000000,0,,0.0
"Number of states that have operationalized the scholarship program by (i) Completing targeting including the establishment of the beneficiary register (ii) Establishing monitoring mechanisms, and (iii) Establishing payment modalities  including contracting of FSP",0,Component 2 Indicators,155,0,0,2026-07-01,7,2026,Q3,ZAMFARA,12.122,6.2239,"Number of states that have operationalized the scholarship program by (i) Completing targeting including the establishment of the beneficiary register (ii) Establishing monitoring mechanisms, and (iii) Establishing payment modalities  including contracting of FSP",0,83,887096,0,,0.0
"Has your state completed targeting, including the establishment of the beneficiary register?",0,Component 2 Indicators,157,0,0,2026-08-01,8,2026,Q3,ZAMFARA,12.122,6.2239,"Has your state completed targeting, including the establishment of the beneficiary register?",0,1,311290,0,,0.0
Has your state established monitoring mechanisms?,0,Component 2 Indicators,160,0,0,2026-09-01,9,2026,Q3,ZAMFARA,12.122,6.2239,Has your state established monitoring mechanisms?,0,3,322580,0,,0.0
"Has your state established payment modalities, including contracting of FSP?",0,Component 2 Indicators,162,0,0,2026-10-01,10,2026,Q4,ZAMFARA,12.122,6.2239,"Has your state established payment modalities, including contracting of FSP?",0,4,333870,0,,0.0
"Number of girls (a) meeting the eligibility criteria and (b) receiving the scholarship upon; transitioning to JSS, continuing their education in JS2 or JS3, transitioning to SS1 and continuing their education in SS2 or SS3.",2808,Component 2 Indicators,165,3143,5341,2026-11-01,11,2026,Q4,ZAMFARA,12.122,6.2239,"Number of girls (a) meeting the eligibility criteria and (b) receiving the scholarship upon; transitioning to JSS, continuing their education in JS2 or JS3, transitioning to SS1 and continuing their education in SS2 or SS3.",42120,32,567926,42087,58.84665792922673,7.410648570412342
Number of girls (a) meeting the eligibility criteria and (b) receiving the scholarship upon transitioning to JSS,1782,Component 2 Indicators,167,2114,4348,2026-12-01,12,2026,Q4,ZAMFARA,12.122,6.2239,Number of girls (a) meeting the eligibility criteria and (b) receiving the scholarship upon transitioning to JSS,52216,30,566732,52185,48.62005519779209,9.208056012365633
Number of girls (a) meeting the eligibility criteria and (b) continuing their education in JS2 or JS3,401,Component 2 Indicators,170,731,3001,2027-01-01,1,2027,Q1,ZAMFARA,12.122,6.2239,Number of girls (a) meeting the eligibility criteria and (b) continuing their education in JS2 or JS3,27290,27,519225,27262,24.358547150949683,5.250517598343685
Number of girls (a) meeting the eligibility criteria and (b) transitioning to SS1,376,Component 2 Indicators,172,703,3009,2027-02-01,2,2027,Q1,ZAMFARA,12.122,6.2239,Number of girls (a) meeting the eligibility criteria and (b) transitioning to SS1,20348,33,557444,20314,23.363243602525756,3.644132863570152
Number of girls (a) meeting the eligibility criteria and (b) continuing their education in SS2 or SS3,249,Component 2 Indicators,175,574,2915,2027-03-01,3,2027,Q1,ZAMFARA,12.122,6.2239,Number of girls (a) meeting the eligibility criteria and (b) continuing their education in SS2 or SS3,13061,29,516286,13031,19.691252144082334,2.523988641954266
"Number of total beneficiaries of social safety net programs, including those receiving scholarships and those receiving cooking stoves",2808,Component 2 Indicators,177,3130,5508,2027-04-01,4,2027,Q2,ZAMFARA,12.122,6.2239,"Number of total beneficiaries of social safety net programs, including those receiving scholarships and those receiving cooking stoves",42120,96,1019539,42023,56.82643427741467,4.121764836852734
Number of total beneficiaries of cooking stoves,0,Component 2 Indicators,180,0,0,2027-05-01,5,2027,Q2,ZAMFARA,12.122,6.2239,Number of total beneficiaries of cooking stoves,0,95,966129,0,,0.0
Number of students participating in safe space sessions for adolescent girls,3897,Component 2 Indicators,182,4214,6663,2027-06-01,6,2027,Q2,ZAMFARA,12.122,6.2239,Number of students participating in safe space sessions for adolescent girls,146102,90,1078360,146011,63.24478463154735,13.540097926480952
"Number of schools that (i) have been equipped with tablets, (ii) have teachers who have been trained, and (iii) are training students in digital literacy for at least one hour per week",99,Component 2 Indicators,185,414,2899,2027-07-01,7,2027,Q3,ZAMFARA,12.122,6.2239,"Number of schools that (i) have been equipped with tablets, (ii) have teachers who have been trained, and (iii) are training students in digital literacy for at least one hour per week",1485,80,866001,1404,14.280786478095894,0.16212452410563039
